Term,Part Of Speech,Sentiment,Frequency
gravely,RB,negative,2
modest,JJ,positive,2
cannibal,NN,negative,2
blissfully,RB,positive,2
misguided,JJ,negative,2
content,JJ,positive,2
sympathies,NNS,negative,4
grudges,NNS,negative,2
barbarity,NN,negative,4
lucid,JJ,positive,2
irrationality,NN,negative,2
overachiever,NN,positive,2
calamitous,JJ,negative,2
unworkable,JJ,negative,2
admire,VBP,positive,1
profuse,JJ,positive,1
extol,VB,positive,1
fierce,JJ,negative,2
revitalize,VB,positive,1
irrelevant,JJ,negative,2
securely,RB,positive,2
unsafe,JJ,negative,2
grotesque,JJ,negative,2
incessant,JJ,negative,2
adulatory,JJ,positive,2
magical,JJ,positive,2
undo,VBP,negative,2
letch,NN,negative,1
friction,NN,negative,4
legitimacy,NN,positive,2
cheery,JJ,positive,2
vestiges,NNS,negative,2
enthusiastically,RB,positive,2
consideration,NN,neutral,4
memorialize,VB,positive,1
malignant,JJ,negative,2
inequities,NNS,negative,4
illness,NN,negative,2
leak,VB,negative,1
adventure,NN,positive,4
sinful,JJ,negative,2
shallow,JJ,negative,2
promptly,RB,positive,2
embroil,VB,negative,1
obese,NN,negative,2
guiltily,RB,negative,2
displeasure,NN,negative,4
impressiveness,NN,positive,1
fraudulent,JJ,negative,2
capsize,VB,negative,1
intent,NN,neutral,4
superlative,JJ,positive,2
affection,NN,positive,4
amazing,JJ,positive,4
values,NNS,positive,4
oppressors,NNS,negative,4
fearlessly,RB,positive,2
selective,JJ,positive,2
abhor,IN,negative,2
deadlock,NN,negative,4
abilities,NNS,positive,2
rude,JJ,negative,2
overwhelming,JJ,negative,2
oppressive,JJ,negative,2
desertion,NN,negative,2
thinkable,JJ,positive,4
distraction,NN,negative,4
deter,VB,negative,2
intrude,VBP,negative,2
hideously,RB,negative,2
brutality,NN,negative,2
plausible,JJ,positive,2
fiend,NN,negative,2
dishearten,VB,negative,1
motionless,JJ,negative,1
flake,NN,negative,1
shipwreck,NN,negative,2
grouchy,JJ,negative,2
informational,JJ,neutral,2
breathtaking,JJ,positive,2
fatigue,NN,negative,2
intermittent,JJ,negative,2
screw,VB,negative,1
insanity,NN,negative,2
confess,VBP,negative,1
impetuous,JJ,negative,2
celebrated,JJ,positive,1
frivolous,JJ,negative,2
swiftness,NN,positive,2
passive,NN,negative,2
predominant,JJ,neutral,1
twisted,JJ,negative,1
brag,VBP,both,4
abrade,VBP,negative,1
widespread,JJ,negative,2
shady,JJ,negative,2
forsake,VB,negative,1
disvalue,NN,negative,1
survival,NN,positive,2
fight,NN,negative,4
wellbeing,NN,positive,2
fondly,RB,positive,2
overblown,JJ,negative,2
upheaval,NN,negative,2
tolerable,JJ,positive,2
ferociously,RB,negative,2
amiable,JJ,positive,2
disorient,VB,negative,1
impropriety,NN,negative,2
inklings,NNS,neutral,4
usefulness,NN,positive,2
displace,VB,negative,2
deceivers,NNS,negative,2
unease,NN,negative,4
revenge,NN,negative,4
shame,NN,negative,4
lethargy,NN,negative,2
devoted,JJ,positive,1
marginal,JJ,negative,2
allay,VB,positive,1
jittery,JJ,negative,2
unconcerned,JJ,positive,2
ignorant,JJ,negative,4
enhancement,NN,positive,2
incisiveness,NN,positive,2
tyrannical,JJ,negative,2
competent,JJ,positive,2
incongruously,RB,negative,2
unimportant,JJ,negative,2
stodgy,JJ,negative,2
spinster,NN,negative,2
hm,SYM,neutral,1
inimically,RB,negative,2
childish,JJ,negative,2
confer,VBP,positive,2
affinity,NN,positive,1
weaken,VBP,negative,1
vice,NN,negative,2
obedience,NN,positive,2
tense,JJ,negative,2
insensitive,JJ,negative,2
shoddy,JJ,negative,2
splendor,NN,positive,2
simple,JJ,positive,1
despair,NN,negative,4
tentative,JJ,negative,1
spellbind,VBN,positive,1
dishonorable,JJ,negative,2
underestimate,VBP,negative,1
tedious,JJ,negative,2
insurrection,NN,negative,4
kook,NN,negative,1
bastard,NN,negative,4
retaliatory,JJ,negative,1
fictional,JJ,negative,2
desultory,JJ,negative,2
attentive,JJ,positive,2
fatuity,NN,negative,2
unprofitable,JJ,negative,2
thoughtless,JJ,negative,2
brutalize,VB,negative,1
rightness,NN,positive,4
liars,NNS,negative,4
luck,NN,positive,2
fractious,JJ,negative,2
unspecified,JJ,negative,2
amenity,NN,positive,1
heretic,NN,negative,1
hopeless,JJ,negative,2
plunder,VB,negative,1
despicable,JJ,negative,2
jubilant,JJ,positive,2
trick,NN,negative,4
befriend,VB,positive,1
unskilled,JJ,negative,2
avenge,VBP,negative,2
rant,VB,negative,2
unlawfulness,NN,negative,4
irreversible,NN,negative,1
pointlessly,RB,negative,2
intents,NNS,neutral,4
humanity,NN,positive,2
beguile,VB,negative,1
inhumane,JJ,negative,1
adaptive,JJ,positive,2
deserving,JJ,positive,2
justification,NN,positive,2
transparent,JJ,neutral,4
cataclysmic,JJ,negative,2
undaunted,JJ,positive,2
chaotic,JJ,negative,2
impose,VB,negative,2
concerns,NNS,negative,4
statuesque,JJ,positive,1
redundant,JJ,negative,2
freakish,JJ,negative,6
compassion,NN,positive,2
beggar,NN,negative,1
irreverence,NN,negative,2
dusty,JJ,negative,2
involuntarily,RB,negative,2
fateful,JJ,negative,1
jubilation,NN,positive,4
manipulate,VB,negative,2
mourn,VB,negative,1
peeved,JJ,negative,1
inconsequently,RB,negative,2
jealous,JJ,negative,2
persuasively,RB,positive,2
confide,VBP,neutral,1
expectation,NN,neutral,4
astonished,JJ,positive,1
snatch,VBP,negative,2
constrain,VB,negative,2
nobly,RB,positive,2
menace,NN,negative,4
rectify,VB,positive,1
enrichment,NN,positive,2
exquisite,JJ,positive,2
capability,NN,positive,2
snarl,NN,negative,4
tawdry,JJ,negative,2
buoyant,JJ,positive,2
assassinate,VB,negative,1
righteous,JJ,positive,2
dubitable,JJ,negative,2
inefficacy,NN,negative,2
misguide,VBP,negative,1
thoughtfulness,NN,positive,2
dirty,JJ,negative,4
entreat,VB,positive,1
favor,NN,positive,3
vigorously,RB,positive,2
top,JJ,positive,1
thought,NN,neutral,2
covenant,NN,positive,2
denigrate,VB,negative,1
deceit,NN,negative,2
aspersion,NN,negative,2
unpleasant,JJ,negative,2
allay,VBP,positive,1
dominant,JJ,neutral,4
flourishing,JJ,positive,1
chagrin,NN,negative,2
plague,VBP,negative,6
favorable,JJ,positive,4
vomit,NN,negative,2
courteous,JJ,positive,2
evocative,JJ,positive,2
intention,NN,neutral,4
dissension,NN,negative,2
ruthless,JJ,negative,2
apprehensive,JJ,negative,4
strangle,VBP,negative,1
eccentric,JJ,negative,2
emphasise,NN,neutral,2
opinionated,JJ,negative,1
patiently,RB,positive,2
injury,NN,negative,2
striking,JJ,positive,1
unwisely,RB,negative,2
indefinitely,RB,negative,2
backwardness,NN,negative,2
denial,NN,negative,2
idealize,VB,positive,1
inextricably,RB,negative,2
stifle,VBP,negative,2
rivalry,NN,negative,2
inquisitive,JJ,positive,1
dispute,NN,negative,4
forlornly,RB,negative,2
procrastination,NN,negative,2
excitement,NN,positive,2
assess,VBP,neutral,1
obviate,VBP,positive,1
even,RB,positive,2
absence,NN,negative,2
convincing,NN,positive,2
overreach,VBP,negative,1
vile,JJ,negative,1
lionhearted,JJ,positive,1
perversion,NN,negative,2
despite,IN,negative,2
groundbreaking,NN,positive,2
restless,JJ,negative,2
tension,NN,negative,4
protests,NNS,negative,4
