Word,POS,Stemmed,Priorpolarity,Type
abandoned,adj,n,negative,weaksubj
abandonment,noun,n,negative,weaksubj
abandon,verb,y,negative,weaksubj
abase,verb,y,negative,strongsubj
abasement,anypos,y,negative,strongsubj
abash,verb,y,negative,strongsubj
abate,verb,y,negative,weaksubj
abdicate,verb,y,negative,weaksubj
aberration,adj,n,negative,strongsubj
aberration,noun,n,negative,strongsubj
abhor,anypos,y,negative,strongsubj
abhor,verb,y,negative,strongsubj
abhorred,adj,n,negative,strongsubj
abhorrence,noun,n,negative,strongsubj
abhorrent,adj,n,negative,strongsubj
abhorrently,anypos,n,negative,strongsubj
abhors,adj,n,negative,strongsubj
abhors,noun,n,negative,strongsubj
abidance,adj,n,positive,strongsubj
abidance,noun,n,positive,strongsubj
abide,anypos,y,positive,strongsubj
abject,adj,n,negative,strongsubj
abjectly,adverb,n,negative,strongsubj
abjure,verb,y,negative,weaksubj
abilities,noun,n,positive,weaksubj
ability,noun,n,positive,weaksubj
able,adj,n,positive,weaksubj
abnormal,adj,n,negative,weaksubj
abolish,verb,y,negative,weaksubj
abominable,adj,n,negative,strongsubj
abominably,anypos,n,negative,strongsubj
abominate,verb,y,negative,strongsubj
abomination,noun,n,negative,strongsubj
above,anypos,n,positive,weaksubj
above average,adj,n,positive,weaksubj
abound,verb,y,positive,weaksubj
abrade,verb,y,negative,weaksubj
abrasive,adj,n,negative,strongsubj
abrupt,adj,n,negative,weaksubj
abscond,verb,y,negative,strongsubj
absence,noun,n,negative,weaksubj
absentee,anypos,y,negative,weaksubj
absent minded,adj,n,negative,strongsubj
absolve,verb,y,positive,strongsubj
absolute,adj,n,neutral,strongsubj
absolutely,adj,n,neutral,strongsubj
absorbed,verb,n,neutral,weaksubj
absurd,adj,n,negative,strongsubj
absurdity,noun,n,negative,strongsubj
absurdly,anypos,n,negative,strongsubj
absurdness,noun,n,negative,strongsubj
abundant,adj,n,positive,weaksubj
abundance,noun,n,positive,weaksubj
abuse,adj,n,negative,weaksubj
abuse,noun,n,negative,weaksubj
abuse,verb,y,negative,strongsubj
abuses,adj,n,negative,weaksubj
abuses,noun,n,negative,weaksubj
abusive,adj,n,negative,strongsubj
abysmal,adj,n,negative,strongsubj
abysmally,anypos,n,negative,strongsubj
abyss,noun,n,negative,strongsubj
accede,verb,y,positive,strongsubj
accentuate,verb,y,neutral,strongsubj
accept,verb,y,positive,weaksubj
acceptance,noun,n,positive,weaksubj
acceptable,adj,n,positive,weaksubj
accessible,adj,n,positive,weaksubj
accidental,adj,n,negative,weaksubj
acclaim,noun,n,positive,strongsubj
acclaim,verb,y,positive,strongsubj
acclaimed,adj,n,positive,strongsubj
acclamation,anypos,y,positive,strongsubj
accolade,noun,n,positive,strongsubj
accolades,noun,n,positive,strongsubj
accommodative,adj,n,positive,weaksubj
accomplish,verb,y,positive,weaksubj
accomplishment,noun,n,positive,weaksubj
accomplishments,noun,n,positive,weaksubj
accord,verb,y,positive,weaksubj
accordance,noun,n,positive,weaksubj
accordantly,adverb,n,positive,weaksubj
accost,verb,y,negative,weaksubj
accountable,adj,n,negative,weaksubj
accurate,adj,n,positive,weaksubj
accurately,adj,n,positive,weaksubj
accursed,adj,n,negative,strongsubj
accusation,adj,n,negative,strongsubj
accusation,noun,n,negative,strongsubj
accusations,adj,n,negative,strongsubj
accusations,noun,n,negative,strongsubj
accuse,verb,y,negative,strongsubj
accuses,verb,n,negative,strongsubj
accusing,anypos,n,negative,strongsubj
accusingly,anypos,n,negative,strongsubj
acerbate,verb,y,negative,strongsubj
acerbic,adj,n,negative,strongsubj
acerbically,adverb,n,negative,strongsubj
ache,verb,y,negative,strongsubj
achievable,adj,n,positive,weaksubj
achieve,verb,y,positive,weaksubj
achievement,anypos,n,positive,weaksubj
achievements,anypos,n,positive,weaksubj
acknowledge,verb,y,positive,weaksubj
acknowledgement,noun,n,positive,weaksubj
acquit,verb,y,positive,weaksubj
acrid,adj,n,negative,strongsubj
acridly,anypos,n,negative,strongsubj
acridness,noun,n,negative,strongsubj
acrimonious,adj,n,negative,strongsubj
acrimoniously,anypos,n,negative,strongsubj
acrimony,noun,n,negative,strongsubj
active,adj,n,positive,weaksubj
activist,adj,n,neutral,strongsubj
activist,noun,n,neutral,strongsubj
actual,anypos,n,neutral,strongsubj
actuality,anypos,n,neutral,strongsubj
actually,anypos,n,neutral,strongsubj
acumen,noun,n,positive,strongsubj
adamant,adj,n,negative,strongsubj
adamantly,anypos,n,negative,strongsubj
adaptable,adj,n,positive,weaksubj
adaptability,noun,n,positive,weaksubj
adaptive,adj,n,positive,weaksubj
addict,noun,n,negative,weaksubj
addiction,noun,n,negative,weaksubj
adept,adj,n,positive,weaksubj
adeptly,adverb,n,positive,weaksubj
adequate,adj,n,positive,weaksubj
adherence,noun,n,positive,weaksubj
adherent,adj,n,positive,weaksubj
adhesion,noun,n,positive,weaksubj
admirable,adj,n,positive,strongsubj
admirer,noun,n,positive,strongsubj
admirable,anypos,n,positive,strongsubj
admirably,anypos,n,positive,strongsubj
admiration,noun,n,positive,strongsubj
admire,verb,y,positive,strongsubj
admiring,adj,n,positive,strongsubj
admiringly,adj,n,positive,strongsubj
admission,adj,n,positive,weaksubj
admission,noun,n,positive,weaksubj
admit,verb,y,positive,strongsubj
admittedly,anypos,y,positive,strongsubj
admonish,verb,y,negative,strongsubj
admonisher,anypos,y,negative,strongsubj
admonishingly,anypos,y,negative,strongsubj
admonishment,anypos,y,negative,strongsubj
admonition,noun,n,negative,strongsubj
adolescents,adj,n,neutral,strongsubj
adolescents,noun,n,neutral,strongsubj
adorable,adj,n,positive,strongsubj
adore,verb,y,positive,strongsubj
adored,adj,n,positive,strongsubj
adorer,anypos,y,positive,strongsubj
adorer,noun,n,positive,strongsubj
adoring,adj,n,positive,strongsubj
adoringly,anypos,n,positive,strongsubj
adrift,anypos,n,negative,weaksubj
adroit,adj,n,positive,strongsubj
adroitly,adj,n,positive,strongsubj
adulate,verb,y,positive,strongsubj
adulation,anypos,y,positive,strongsubj
